Rate your Algorithms skill out of 100,Rate your Programming Concepts out of 100,Rate your Computer Networks out of 100,Rate your Electronics Subjects out of 100,Rate your Mathematics out of 100,Rate your Communication skills out of 100,Hours working per day,No. of Participted hackathons, Rating coding skills out of 10,self-learning capability?,certifications,workshops,Interested subjects,Job/Higher Studies?,Type of company want to settle in?,interested in games,Management or Technical,worked in teams ever?,Career
75,93,68,87,82,63,7,4,5,yes,r programming,database security,hacking,higherstudies,Finance,yes,Technical,no,Database Administrator
73,91,81,94,73,85,4,3,7,yes,information security,database security,hacking,job,Sales and Marketing,yes,Technical,yes,Software Engineer
93,74,76,82,74,83,7,3,2,no,python,cloud computing,programming,job,Service Based,yes,Technical,no,Software Engineer
71,83,73,76,87,67,5,3,4,no,distro making,system designing,data engineering,job,product development,no,Technical,yes,Solutions Architect
69,88,66,92,85,71,12,5,8,no,information security,database security,parallel computing,job,Sales and Marketing,no,Management,yes,Software Engineer
81,73,60,80,79,94,9,0,7,yes,distro making,cloud computing,programming,higherstudies,product development,no,Management,no,Software Engineer
87,75,94,83,83,74,8,1,6,yes,r programming,system designing,hacking,job,Product based,yes,Management,no,Database Administrator
65,80,69,81,92,67,8,1,2,yes,information security,database security,Management,higherstudies,Service Based,yes,Management,yes,Database Administrator
69,65,75,79,90,83,4,2,8,yes,information security,game development,Management,job,Finance,yes,Management,no,Network Security Engineer
75,61,88,82,80,80,9,6,8,yes,shell programming,database security,Software Engineering,job,Service Based,yes,Management,no,Software Engineer
66,65,94,60,64,63,10,6,5,no,machine learning,database security,parallel computing,job,Sales and Marketing,yes,Management,yes,Database Administrator
93,65,89,61,69,91,12,3,7,yes,app development,game development,parallel computing,job,Finance,no,Technical,yes,Systems Analyst
86,67,86,88,60,72,9,3,4,yes,r programming,game development,programming,higherstudies,Testing and Maintainance Services,no,Technical,yes,Solutions Architect
68,71,88,93,89,63,12,6,2,yes,full stack,database security,cloud computing,higherstudies,Product based,no,Technical,no,Systems Analyst
79,78,67,67,67,90,12,5,4,no,app development,game development,Management,higherstudies,Sales and Marketing,yes,Management,no,Solutions Architect
76,87,60,76,90,74,11,3,7,no,app development,data science,hacking,higherstudies,Web Services,yes,Technical,no,E-Commerce Analyst
71,91,73,80,79,80,6,5,1,no,information security,system designing,programming,job,SAaS services,no,Management,yes,Network Security Engineer
67,91,93,91,79,94,6,3,3,no,machine learning,system designing,networks,job,product development,yes,Technical,no,Database Administrator
89,84,85,68,90,94,9,1,7,no,python,cloud computing,cloud computing,job,Service Based,yes,Management,yes,Database Administrator
86,82,89,82,81,91,12,2,7,no,shell programming,game development,Management,job,Service Based,no,Management,no,Systems Analyst
94,83,80,82,88,65,7,5,6,no,r programming,database security,networks,job,BPA,yes,Technical,yes,Software Engineer
91,90,71,64,75,82,10,2,7,yes,full stack,web technologies,programming,higherstudies,Service Based,yes,Management,no,Design & UX
71,73,75,71,80,65,4,1,5,yes,distro making,web technologies,data engineering,job,Service Based,no,Management,no,Systems Analyst
89,85,75,83,65,66,11,5,3,yes,full stack,system designing,cloud computing,job,Product based,no,Management,no,Systems Analyst
83,88,67,81,93,70,10,1,1,yes,machine learning,testing,IOT,higherstudies,Testing and Maintainance Services,no,Technical,no,Information Security Analyst
82,78,74,79,91,62,12,2,4,no,information security,data science,IOT,higherstudies,Service Based,yes,Management,yes,Systems Analyst
76,75,61,85,64,85,5,2,7,no,information security,cloud computing,parallel computing,higherstudies,Finance,yes,Management,yes,Solutions Architect
79,67,90,61,89,62,11,0,9,no,python,game development,cloud computing,job,BPA,no,Technical,no,Database Administrator
75,64,74,87,79,88,10,3,3,yes,information security,web technologies,parallel computing,higherstudies,Cloud Services,no,Management,yes,Network Security Engineer
68,82,84,63,60,70,7,3,3,no,machine learning,database security,Management,job,SAaS services,no,Technical,yes,Software Engineer
73,69,77,93,81,70,11,3,2,no,information security,data science,Computer Architecture,higherstudies,Service Based,no,Technical,no,Solutions Architect
87,73,67,80,60,69,12,4,6,no,information security,web technologies,IOT,job,BPA,no,Management,yes,Network Security Engineer
73,80,84,81,81,68,8,4,4,yes,machine learning,system designing,cloud computing,job,Service Based,no,Technical,yes,Database Administrator
74,92,70,80,61,63,10,6,1,no,shell programming,cloud computing,IOT,job,Finance,no,Technical,yes,Solutions Architect
65,85,94,68,75,62,12,0,7,yes,shell programming,system designing,hacking,higherstudies,Finance,no,Management,yes,Systems Analyst
62,71,69,65,82,91,8,2,5,no,hadoop,data science,IOT,job,Product based,no,Technical,yes,Database Administrator
74,91,85,94,93,68,9,5,9,no,python,data science,data engineering,higherstudies,Testing and Maintainance Services,no,Technical,no,Software Engineer
83,75,88,71,81,60,4,5,3,no,shell programming,cloud computing,data engineering,higherstudies,Testing and Maintainance Services,yes,Management,no,Design & UX
92,64,67,72,82,80,4,4,4,no,shell programming,cloud computing,Management,job,Finance,no,Management,yes,Software Engineer
74,89,76,93,64,73,6,1,1,no,python,cloud computing,cloud computing,job,Product based,no,Management,yes,Network Security Engineer
82,89,88,82,61,94,6,6,6,yes,shell programming,game development,Management,job,product development,no,Management,yes,Information Security Analyst
89,86,76,86,65,84,11,1,4,no,full stack,hacking,Computer Architecture,job,Finance,yes,Management,yes,Network Security Engineer
69,81,75,77,67,74,9,1,3,yes,hadoop,system designing,programming,higherstudies,product development,no,Management,no,Information Security Analyst
64,87,86,91,85,85,8,6,9,no,information security,data science,Computer Architecture,job,product development,no,Technical,no,Systems Analyst
87,89,64,94,94,76,9,2,3,yes,shell programming,testing,Computer Architecture,higherstudies,Finance,no,Technical,yes,Database Developer
71,72,64,93,91,93,11,0,1,no,r programming,cloud computing,IOT,job,BPA,yes,Technical,yes,Database Administrator
82,84,65,83,73,78,6,6,1,yes,python,testing,parallel computing,job,Web Services,yes,Management,no,E-Commerce Analyst
91,88,86,67,82,60,4,0,6,yes,machine learning,hacking,programming,job,BPA,yes,Management,no,Software Engineer
77,62,80,78,75,80,7,6,5,yes,hadoop,hacking,IOT,higherstudies,Product based,no,Technical,no,Systems Analyst
83,77,92,79,91,93,12,0,8,yes,full stack,hacking,networks,job,Service Based,yes,Technical,yes,Network Security Engineer
82,79,90,64,78,86,4,4,6,yes,hadoop,game development,parallel computing,higherstudies,Finance,yes,Technical,no,Software Engineer
77,77,74,89,60,84,4,4,7,yes,distro making,web technologies,cloud computing,higherstudies,Product based,no,Management,yes,Software Engineer
80,62,86,65,91,62,9,0,3,yes,hadoop,testing,cloud computing,job,Finance,no,Management,yes,E-Commerce Analyst
69,70,65,94,69,71,10,2,8,yes,hadoop,game development,Management,higherstudies,Service Based,no,Management,no,Software Engineer
68,86,67,78,69,90,6,6,5,no,python,game development,hacking,job,Web Services,yes,Technical,no,Software Engineer
93,89,89,85,69,77,9,6,9,no,full stack,game development,Software Engineering,higherstudies,BPA,no,Management,no,Systems Analyst
72,63,62,60,63,72,4,4,3,yes,shell programming,web technologies,hacking,job,BPA,yes,Technical,no,Design & UX
87,87,78,71,83,67,4,3,3,yes,distro making,system designing,parallel computing,higherstudies,BPA,yes,Management,no,Solutions Architect
73,94,66,91,78,71,7,6,1,no,distro making,testing,data engineering,job,Sales and Marketing,yes,Management,yes,Network Security Engineer
88,60,68,87,61,79,6,4,6,yes,python,web technologies,Software Engineering,higherstudies,Finance,no,Management,no,Information Security Analyst
60,83,67,81,68,87,6,0,2,yes,machine learning,database security,networks,higherstudies,BPA,yes,Management,yes,Software Engineer
73,62,92,68,64,68,9,2,9,no,r programming,cloud computing,IOT,job,Cloud Services,no,Management,yes,Systems Analyst
73,81,82,85,86,84,9,0,3,yes,distro making,hacking,cloud computing,higherstudies,Sales and Marketing,no,Technical,yes,Software Engineer
69,84,61,89,71,83,12,1,5,no,hadoop,game development,Management,job,product development,no,Technical,no,Information Security Analyst
78,94,66,80,82,84,9,5,3,no,shell programming,web technologies,Software Engineering,job,Product based,yes,Technical,yes,Database Administrator
84,69,66,93,89,82,10,0,5,yes,r programming,cloud computing,parallel computing,higherstudies,Service Based,yes,Management,no,Systems Analyst
65,66,86,66,87,80,5,2,6,no,machine learning,system designing,cloud computing,job,SAaS services,yes,Technical,yes,Software Engineer
61,75,62,75,91,89,7,1,4,no,app development,database security,Computer Architecture,job,SAaS services,yes,Technical,no,Database Administrator
60,92,80,73,67,64,6,1,6,no,app development,testing,data engineering,higherstudies,Web Services,yes,Technical,no,Solutions Architect
77,67,73,93,82,68,12,4,2,yes,distro making,cloud computing,IOT,higherstudies,Web Services,yes,Management,no,Systems Analyst
84,91,79,84,76,81,7,5,9,no,hadoop,system designing,IOT,higherstudies,Product based,no,Technical,yes,Information Security Analyst
94,69,89,71,71,77,6,2,5,yes,r programming,web technologies,IOT,higherstudies,Web Services,yes,Technical,yes,Software Engineer
86,84,91,67,60,87,6,5,8,no,full stack,web technologies,IOT,job,Web Services,yes,Technical,no,Software Engineer
83,69,77,88,67,79,10,5,7,yes,hadoop,web technologies,programming,higherstudies,Web Services,yes,Management,no,Database Developer
73,66,64,94,60,89,7,1,4,no,full stack,testing,hacking,higherstudies,SAaS services,yes,Management,yes,Database Administrator
91,76,61,82,90,62,7,1,2,no,machine learning,testing,hacking,higherstudies,product development,yes,Technical,no,Information Security Analyst
71,68,60,78,70,77,8,2,5,yes,python,data science,networks,job,Sales and Marketing,no,Technical,yes,Database Administrator
81,89,94,76,83,89,10,6,4,no,r programming,database security,programming,job,Web Services,yes,Technical,no,Software Engineer
89,79,82,62,85,90,12,3,1,yes,app development,testing,programming,higherstudies,SAaS services,yes,Technical,no,Network Security Engineer
64,73,78,69,92,91,4,3,3,no,full stack,database security,data engineering,job,Product based,yes,Technical,no,Solutions Architect
69,68,61,93,84,85,12,2,3,yes,distro making,data science,Computer Architecture,job,Finance,yes,Technical,yes,Systems Analyst
66,85,88,70,65,65,7,2,1,no,distro making,web technologies,hacking,job,Sales and Marketing,yes,Technical,yes,Database Developer
94,60,92,84,89,75,6,5,2,yes,app development,database security,IOT,job,Cloud Services,no,Technical,no,Network Security Engineer
83,73,86,87,64,82,6,2,5,yes,information security,web technologies,hacking,job,Cloud Services,no,Management,yes,Solutions Architect
90,66,67,60,61,90,10,4,4,no,distro making,web technologies,Software Engineering,higherstudies,Web Services,no,Management,no,Information Security Analyst
91,73,74,91,72,62,11,5,6,no,full stack,database security,Software Engineering,higherstudies,Sales and Marketing,yes,Management,yes,E-Commerce Analyst
72,70,61,87,71,82,6,2,5,yes,python,game development,programming,job,Finance,no,Management,no,Software Engineer
72,88,92,78,91,91,8,5,6,no,hadoop,game development,cloud computing,job,Product based,yes,Management,no,Database Administrator
78,66,94,69,76,78,4,5,7,yes,r programming,testing,Computer Architecture,job,product development,no,Technical,no,Software Engineer
89,63,68,88,63,84,7,0,1,yes,app development,cloud computing,Computer Architecture,job,Product based,no,Management,no,Systems Analyst
74,66,72,90,79,83,11,3,1,no,machine learning,game development,parallel computing,job,Finance,no,Technical,no,Information Security Analyst
67,70,73,89,91,65,12,0,5,no,machine learning,testing,hacking,job,product development,no,Management,yes,Network Security Engineer
77,75,72,68,74,75,12,6,3,yes,shell programming,hacking,networks,higherstudies,Sales and Marketing,yes,Management,yes,Solutions Architect
84,61,82,61,71,91,12,4,9,yes,r programming,database security,programming,higherstudies,Testing and Maintainance Services,yes,Management,yes,Systems Analyst
90,69,72,75,69,76,10,1,3,yes,shell programming,database security,Management,job,SAaS services,yes,Technical,no,Database Administrator
90,75,80,60,64,85,4,4,5,no,python,hacking,cloud computing,job,Cloud Services,no,Technical,no,Software Engineer
72,76,79,91,77,92,7,4,6,no,shell programming,database security,IOT,job,Service Based,no,Management,yes,Solutions Architect
90,81,70,73,92,63,7,1,4,yes,app development,hacking,data engineering,job,Finance,yes,Management,yes,Network Security Engineer
91,83,64,65,63,71,12,0,1,yes,machine learning,data science,programming,higherstudies,BPA,yes,Management,no,Solutions Architect
62,81,90,73,66,88,7,1,6,yes,hadoop,hacking,data engineering,higherstudies,Product based,no,Management,yes,Software Engineer
63,74,73,60,85,76,6,6,7,yes,distro making,cloud computing,Computer Architecture,higherstudies,Sales and Marketing,yes,Management,yes,Information Security Analyst
85,69,80,74,75,76,10,4,9,yes,hadoop,cloud computing,cloud computing,job,Web Services,no,Management,yes,E-Commerce Analyst
61,70,62,79,65,66,9,5,4,no,app development,system designing,networks,job,Finance,yes,Technical,yes,Information Security Analyst
78,83,60,85,91,69,4,5,5,no,hadoop,system designing,Computer Architecture,job,Sales and Marketing,no,Management,yes,Network Security Engineer
92,74,81,70,81,69,11,0,1,no,information security,system designing,parallel computing,job,BPA,no,Technical,no,Systems Analyst
92,91,78,61,84,86,10,1,7,no,app development,web technologies,IOT,job,BPA,yes,Technical,yes,E-Commerce Analyst
93,92,78,91,69,62,10,2,4,yes,distro making,web technologies,Management,job,Finance,no,Technical,yes,Software Engineer
94,92,89,73,64,69,6,2,7,no,hadoop,testing,hacking,job,Finance,no,Management,yes,Solutions Architect
84,73,67,93,81,84,7,4,2,no,information security,cloud computing,Software Engineering,job,product development,yes,Technical,yes,Software Engineer
80,75,64,91,72,69,5,5,5,no,shell programming,web technologies,Management,higherstudies,Sales and Marketing,no,Management,no,Software Engineer
86,90,72,93,91,64,6,3,4,yes,distro making,web technologies,programming,higherstudies,Sales and Marketing,yes,Management,yes,Database Developer
63,72,68,93,70,64,6,6,3,yes,information security,testing,networks,higherstudies,Sales and Marketing,yes,Management,no,Database Developer
62,79,86,93,82,62,11,4,6,no,r programming,data science,IOT,higherstudies,Finance,no,Technical,no,Database Administrator
85,88,87,71,87,80,4,1,5,no,r programming,web technologies,data engineering,job,Service Based,no,Technical,no,Database Developer
83,71,79,84,82,75,6,2,2,no,full stack,hacking,IOT,job,Web Services,no,Technical,no,Database Developer
72,69,79,82,65,92,5,5,9,yes,information security,cloud computing,IOT,job,Cloud Services,no,Management,no,Network Security Engineer
86,87,81,83,82,91,8,1,3,yes,distro making,web technologies,IOT,job,Product based,yes,Technical,no,Database Developer
86,70,83,60,68,79,11,1,3,yes,shell programming,cloud computing,data engineering,job,SAaS services,yes,Technical,no,Systems Analyst
60,71,76,60,79,63,12,4,6,no,python,system designing,Software Engineering,higherstudies,product development,yes,Technical,yes,Database Developer
76,75,63,70,60,86,8,3,2,yes,r programming,hacking,Computer Architecture,job,Cloud Services,no,Management,no,Software Engineer
83,71,86,74,88,87,6,5,1,yes,app development,game development,parallel computing,higherstudies,BPA,yes,Technical,yes,Design & UX
78,70,84,65,75,81,6,2,7,yes,information security,database security,Software Engineering,job,Service Based,yes,Management,yes,Database Administrator
76,75,74,87,78,80,11,0,2,yes,shell programming,testing,networks,higherstudies,Web Services,no,Management,no,Software Engineer
62,90,81,82,88,76,4,3,9,no,distro making,system designing,IOT,higherstudies,SAaS services,no,Technical,yes,Systems Analyst
72,77,81,77,81,62,8,0,7,no,machine learning,game development,Computer Architecture,job,Testing and Maintainance Services,yes,Management,yes,Database Developer
94,71,92,81,87,67,5,0,8,yes,hadoop,database security,IOT,higherstudies,Service Based,yes,Technical,no,Design & UX
92,62,86,64,73,83,12,1,9,no,machine learning,system designing,cloud computing,job,SAaS services,yes,Management,yes,Network Security Engineer
83,66,86,79,79,79,8,0,8,no,app development,testing,Software Engineering,job,product development,no,Management,yes,Solutions Architect
67,81,68,69,60,90,6,4,2,no,hadoop,database security,Computer Architecture,job,Web Services,no,Technical,no,Information Security Analyst
71,67,81,71,68,86,5,6,8,yes,information security,testing,Computer Architecture,job,Finance,no,Management,yes,Database Developer
69,79,68,83,89,94,11,4,9,no,machine learning,system designing,networks,job,SAaS services,no,Technical,no,Systems Analyst
60,66,65,85,94,64,5,2,9,no,full stack,game development,hacking,job,Cloud Services,no,Technical,no,Solutions Architect
71,92,77,87,85,88,9,6,9,yes,python,web technologies,cloud computing,higherstudies,SAaS services,yes,Technical,no,Software Engineer
90,76,82,94,87,71,9,1,8,no,hadoop,web technologies,data engineering,higherstudies,Sales and Marketing,no,Management,no,E-Commerce Analyst
65,72,73,82,87,91,4,6,1,no,python,game development,cloud computing,higherstudies,Testing and Maintainance Services,no,Management,no,Systems Analyst
88,60,77,65,64,77,4,0,2,no,python,database security,IOT,higherstudies,Web Services,yes,Technical,yes,Network Security Engineer
93,91,78,92,73,72,10,0,2,no,python,game development,programming,higherstudies,Product based,yes,Technical,yes,Software Engineer
86,94,74,78,89,88,9,2,2,yes,information security,system designing,data engineering,higherstudies,Service Based,yes,Management,yes,Software Engineer
90,66,72,79,80,78,10,3,3,no,app development,game development,IOT,job,Product based,no,Technical,no,Systems Analyst
67,73,71,67,65,92,4,2,2,no,app development,hacking,parallel computing,job,Testing and Maintainance Services,yes,Technical,no,Network Security Engineer
88,86,70,87,93,69,9,0,6,yes,distro making,hacking,parallel computing,job,BPA,yes,Management,yes,Network Security Engineer
93,75,76,69,75,76,10,2,4,no,information security,cloud computing,parallel computing,higherstudies,Product based,yes,Management,no,Network Security Engineer
88,92,68,79,61,70,4,1,9,no,r programming,web technologies,parallel computing,higherstudies,SAaS services,no,Management,no,Systems Analyst
86,67,75,78,72,79,10,0,6,no,full stack,web technologies,hacking,job,Service Based,no,Management,no,Database Developer
64,68,80,64,85,91,7,6,7,no,full stack,game development,hacking,higherstudies,Web Services,yes,Management,no,Systems Analyst
89,63,73,78,82,76,4,2,2,yes,machine learning,database security,cloud computing,higherstudies,Sales and Marketing,no,Management,yes,Software Engineer
65,86,68,87,60,68,10,3,1,no,full stack,database security,Computer Architecture,job,SAaS services,yes,Management,no,Design & UX
66,85,71,87,71,91,9,3,7,yes,r programming,testing,Software Engineering,job,Sales and Marketing,no,Technical,yes,Solutions Architect
67,67,94,85,75,61,8,1,4,no,information security,testing,IOT,job,Service Based,no,Technical,no,Software Engineer
68,69,81,81,60,70,11,4,7,yes,hadoop,data science,hacking,higherstudies,SAaS services,no,Technical,yes,Database Administrator
73,72,69,90,84,77,4,2,5,yes,shell programming,game development,networks,higherstudies,Cloud Services,yes,Management,yes,Systems Analyst
66,72,79,77,61,62,11,3,8,no,full stack,web technologies,programming,higherstudies,SAaS services,yes,Technical,no,E-Commerce Analyst
84,72,87,63,86,90,6,5,1,yes,full stack,hacking,cloud computing,job,Sales and Marketing,no,Technical,no,Software Engineer
78,91,65,93,86,71,4,3,5,no,python,hacking,data engineering,job,Finance,no,Management,yes,E-Commerce Analyst
61,86,71,90,85,60,6,2,8,yes,python,cloud computing,cloud computing,higherstudies,Service Based,yes,Technical,yes,Design & UX
69,87,94,81,62,73,4,3,4,yes,r programming,cloud computing,data engineering,higherstudies,Product based,yes,Management,no,Systems Analyst
89,64,67,92,65,84,7,3,7,no,r programming,cloud computing,cloud computing,higherstudies,Product based,yes,Management,yes,Software Engineer
78,89,91,65,88,67,8,3,5,yes,python,testing,IOT,job,Cloud Services,no,Technical,no,Systems Analyst
88,75,92,90,71,77,6,3,9,no,distro making,web technologies,Management,higherstudies,Service Based,no,Management,yes,Database Developer
87,67,70,76,64,81,6,2,5,no,shell programming,data science,networks,job,product development,no,Technical,no,Database Administrator
92,74,86,92,69,87,6,2,1,yes,full stack,web technologies,Software Engineering,higherstudies,Finance,yes,Technical,yes,Software Engineer
66,81,83,70,72,72,8,1,7,no,full stack,data science,data engineering,job,BPA,yes,Technical,yes,Systems Analyst
66,65,85,74,65,91,9,1,3,yes,information security,data science,Management,job,Service Based,no,Management,yes,Systems Analyst
67,81,90,91,90,93,10,0,2,yes,r programming,database security,data engineering,job,BPA,yes,Technical,no,Software Engineer
78,64,93,91,94,94,10,5,8,no,machine learning,data science,Management,job,Finance,yes,Technical,no,Network Security Engineer
61,89,94,84,63,64,10,5,5,yes,full stack,testing,hacking,higherstudies,BPA,yes,Technical,no,Software Engineer
77,66,84,85,90,79,9,6,7,yes,python,testing,Management,job,Sales and Marketing,no,Management,yes,E-Commerce Analyst
67,74,78,61,80,91,9,1,6,no,machine learning,data science,Computer Architecture,job,Cloud Services,yes,Management,yes,Solutions Architect
85,90,64,82,70,70,7,0,7,no,shell programming,hacking,Software Engineering,job,SAaS services,no,Management,no,Design & UX
93,63,68,76,60,69,8,0,8,yes,shell programming,data science,IOT,job,Service Based,no,Management,yes,Software Engineer
77,73,72,73,60,77,12,0,4,yes,python,cloud computing,Software Engineering,higherstudies,Testing and Maintainance Services,yes,Management,no,Database Developer
75,62,86,63,65,62,12,1,5,no,full stack,web technologies,parallel computing,higherstudies,Web Services,yes,Management,yes,Network Security Engineer
86,76,75,72,68,61,4,6,3,no,shell programming,data science,hacking,higherstudies,Cloud Services,no,Technical,yes,Systems Analyst
84,93,92,87,73,70,10,4,2,no,full stack,game development,Management,higherstudies,Sales and Marketing,yes,Technical,no,Software Engineer
76,81,77,64,94,85,6,6,4,yes,distro making,system designing,networks,job,Testing and Maintainance Services,no,Technical,no,Software Engineer
67,92,90,65,85,77,11,3,3,no,full stack,cloud computing,networks,higherstudies,Service Based,no,Management,yes,Database Developer
87,88,89,89,81,61,7,6,4,yes,python,testing,programming,job,Finance,yes,Technical,no,Systems Analyst
65,94,83,84,86,78,11,1,7,yes,information security,system designing,cloud computing,job,product development,yes,Management,no,Software Engineer
67,80,94,67,65,91,6,5,9,yes,shell programming,testing,cloud computing,job,Sales and Marketing,yes,Management,yes,Solutions Architect
78,74,69,89,74,78,7,1,3,yes,shell programming,cloud computing,Management,job,Service Based,no,Technical,no,Database Administrator
78,70,78,93,64,74,4,0,4,yes,shell programming,hacking,IOT,higherstudies,SAaS services,yes,Technical,no,Database Administrator
73,72,74,75,62,83,11,1,3,no,information security,game development,hacking,higherstudies,BPA,yes,Management,yes,Solutions Architect
87,73,87,63,72,62,10,6,4,no,shell programming,cloud computing,data engineering,job,Sales and Marketing,no,Management,no,Solutions Architect
81,73,88,86,69,81,6,2,8,no,hadoop,system designing,Management,higherstudies,Cloud Services,no,Management,no,Solutions Architect
70,60,66,79,77,67,5,2,6,yes,shell programming,hacking,data engineering,higherstudies,Web Services,no,Management,yes,Software Engineer
88,87,71,63,61,86,5,0,9,no,distro making,database security,data engineering,job,Testing and Maintainance Services,no,Technical,no,Solutions Architect
93,77,83,70,60,71,7,2,8,no,r programming,cloud computing,data engineering,higherstudies,BPA,yes,Management,yes,Database Developer
68,62,74,93,69,60,7,2,7,no,information security,database security,networks,higherstudies,Cloud Services,yes,Technical,no,Software Engineer
85,76,87,60,61,94,8,3,6,yes,full stack,hacking,Management,job,Finance,yes,Management,yes,E-Commerce Analyst
62,75,67,92,87,60,5,0,5,no,machine learning,data science,Computer Architecture,higherstudies,Cloud Services,yes,Technical,no,Software Engineer
90,75,65,82,77,62,12,6,1,no,distro making,web technologies,Computer Architecture,job,Testing and Maintainance Services,no,Technical,yes,Database Developer
63,75,88,90,88,76,8,4,2,no,hadoop,system designing,data engineering,job,Cloud Services,no,Management,no,Network Security Engineer
90,85,85,66,65,85,6,1,2,no,information security,cloud computing,cloud computing,job,SAaS services,no,Management,yes,Network Security Engineer
89,80,70,65,78,84,11,6,4,no,full stack,cloud computing,parallel computing,job,Product based,yes,Technical,yes,Software Engineer
93,92,79,63,93,82,9,2,9,yes,machine learning,testing,Computer Architecture,job,Service Based,no,Management,yes,Software Engineer
63,89,94,83,86,85,10,3,5,no,shell programming,web technologies,networks,higherstudies,Product based,no,Technical,no,Software Engineer
75,64,80,80,85,86,5,2,1,no,shell programming,game development,IOT,higherstudies,Finance,no,Technical,no,Database Administrator
83,81,82,64,82,61,11,0,8,no,distro making,hacking,cloud computing,job,SAaS services,yes,Management,no,Systems Analyst
65,73,71,88,79,90,10,3,8,no,machine learning,database security,programming,higherstudies,Service Based,yes,Technical,no,Information Security Analyst
70,63,93,63,75,62,5,1,7,no,machine learning,testing,hacking,job,Service Based,yes,Technical,no,Software Engineer
74,65,74,85,64,88,9,5,6,yes,shell programming,system designing,Computer Architecture,higherstudies,product development,yes,Technical,no,Software Engineer
64,75,78,71,91,66,6,1,3,yes,full stack,database security,parallel computing,higherstudies,Service Based,yes,Management,yes,Network Security Engineer
84,60,66,60,62,89,7,4,9,no,machine learning,game development,IOT,higherstudies,Cloud Services,yes,Technical,no,Systems Analyst
77,71,94,67,72,92,6,2,4,yes,full stack,system designing,data engineering,job,Product based,yes,Technical,yes,Systems Analyst
66,68,91,93,71,61,6,2,1,yes,python,system designing,programming,higherstudies,product development,yes,Management,no,Systems Analyst
71,89,93,62,72,71,10,1,5,yes,full stack,hacking,networks,higherstudies,Sales and Marketing,yes,Management,yes,Network Security Engineer
68,67,64,72,82,82,8,4,1,no,distro making,cloud computing,hacking,job,Finance,yes,Technical,no,Software Engineer
68,62,71,87,74,71,8,1,8,no,hadoop,system designing,Software Engineering,job,SAaS services,yes,Technical,yes,Network Security Engineer
65,65,83,61,70,60,7,2,2,yes,r programming,cloud computing,parallel computing,higherstudies,BPA,no,Technical,no,Network Security Engineer
62,71,75,63,83,83,9,6,1,no,full stack,database security,IOT,higherstudies,BPA,no,Technical,no,Network Security Engineer
90,78,73,74,94,67,7,0,4,no,app development,data science,hacking,job,product development,yes,Management,no,Systems Analyst
61,77,63,75,90,69,10,2,2,yes,machine learning,system designing,hacking,job,Testing and Maintainance Services,yes,Management,no,Design & UX
70,84,79,77,61,60,9,0,5,yes,shell programming,database security,networks,higherstudies,Finance,yes,Technical,yes,Solutions Architect
90,68,92,88,69,85,12,0,1,yes,app development,hacking,parallel computing,higherstudies,product development,no,Technical,yes,Software Engineer
76,62,66,64,69,69,10,1,8,no,machine learning,data science,networks,job,Testing and Maintainance Services,yes,Technical,yes,Database Developer
71,93,89,90,78,80,9,3,5,no,full stack,game development,cloud computing,higherstudies,Service Based,yes,Technical,yes,E-Commerce Analyst
61,83,92,91,86,90,7,1,5,no,app development,cloud computing,Computer Architecture,job,product development,yes,Management,yes,Systems Analyst
73,71,75,81,79,67,10,6,2,no,full stack,cloud computing,Computer Architecture,job,Cloud Services,yes,Technical,no,Database Administrator
72,90,81,92,60,62,10,1,2,yes,r programming,testing,cloud computing,job,Finance,no,Technical,yes,Software Engineer
74,93,91,88,61,61,9,6,1,no,distro making,data science,parallel computing,job,Service Based,no,Technical,yes,E-Commerce Analyst
63,84,92,63,86,78,6,5,3,no,r programming,data science,Software Engineering,job,Finance,yes,Management,yes,Database Developer
79,86,75,91,84,67,9,0,9,no,shell programming,game development,networks,job,Product based,yes,Technical,yes,Software Engineer
89,75,81,85,60,65,9,4,8,no,r programming,data science,Management,higherstudies,Product based,no,Management,yes,Database Developer
78,75,79,68,80,64,8,6,6,no,information security,game development,programming,higherstudies,BPA,yes,Technical,yes,Network Security Engineer
87,69,69,78,83,63,12,6,7,no,information security,cloud computing,Software Engineering,higherstudies,Cloud Services,yes,Technical,no,Database Developer
67,66,60,92,75,88,5,1,4,yes,information security,game development,networks,higherstudies,product development,no,Management,no,Systems Analyst
94,60,84,81,76,64,12,0,2,yes,shell programming,data science,Computer Architecture,higherstudies,Testing and Maintainance Services,yes,Management,yes,Solutions Architect
64,67,64,60,64,62,7,1,6,no,distro making,database security,parallel computing,higherstudies,Cloud Services,yes,Technical,no,Database Developer
68,89,81,63,79,81,12,4,4,yes,shell programming,cloud computing,hacking,job,SAaS services,yes,Management,yes,Network Security Engineer
92,90,65,73,91,69,5,3,7,no,app development,web technologies,IOT,higherstudies,Cloud Services,no,Technical,yes,Systems Analyst
82,67,80,75,68,82,8,6,2,yes,information security,database security,networks,job,Service Based,yes,Technical,yes,Software Engineer
79,89,90,62,78,91,4,2,7,no,information security,testing,hacking,job,Web Services,no,Technical,yes,Software Engineer
69,80,82,85,62,69,10,4,1,no,shell programming,system designing,networks,higherstudies,Cloud Services,yes,Management,yes,Software Engineer
83,68,91,64,64,87,11,1,9,yes,hadoop,system designing,networks,job,product development,no,Management,yes,Systems Analyst
